"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.522665375E0,-1.468446350E-1,4.120331726E0,1.229588058E1
7.542661375E0,1.844165039E-1,3.911366272E0,1.188648193E1
7.562657375E0,2.646496582E-1,3.980223083E0,1.082024918E1
7.582653375E0,2.210902405E-1,4.089795227E0,9.640851746E0
7.602649375E0,-3.248245239E-2,4.029919739E0,8.409512329E0
7.622644375E0,-2.743794250E-1,3.998934174E0,8.012837219E0
7.642640375E0,1.428030396E-1,3.924389191E0,8.154442749E0
7.662636375E0,7.544311523E-1,4.045786743E0,8.225993958E0
7.682632375E0,9.139993286E-1,4.295916595E0,7.958051147E0
7.702627375E0,7.092251587E-1,4.172423401E0,7.242239685E0
7.722623375E0,1.591191101E-1,3.695515137E0,6.867568817E0
7.742619375E0,-7.963439941E-2,3.303031311E0,6.773264923E0
7.762615375E0,-3.577560425E-1,2.941982117E0,6.420448608E0
7.782611375E0,4.487667847E-1,3.115920410E0,6.556665344E0
7.802606375E0,1.291663971E0,3.384461975E0,7.041357422E0
7.822602375E0,7.179071045E-1,3.200195160E0,6.720424805E0
7.842598375E0,-3.396437073E-1,2.892884216E0,5.623805237E0
7.862594375E0,-5.939648438E-1,3.177592163E0,5.015919342E0
7.882589375E0,-4.070036316E-1,4.211192780E0,5.639971619E0
7.902585375E0,-6.379733276E-1,5.012326813E0,6.727160797E0
7.922581375E0,-8.870553589E-1,5.668113098E0,8.136330414E0
7.942577375E0,-2.276765442E-1,5.718258820E0,9.661059723E0
7.962573375E0,2.023791504E-1,5.463338928E0,1.075363770E1
7.982568375E0,-3.469784546E-1,5.626649323E0,1.111393845E1
8.002564375E0,-6.840774536E-1,5.886059875E0,1.169622757E1
8.022560375E0,-3.812571716E-1,6.383325806E0,1.244721588E1
8.042556375E0,-4.812492371E-1,6.884783020E0,1.207029968E1
8.062552375E0,-7.869136047E-1,6.684200134E0,1.236009705E1
8.082547375E0,-1.257534943E0,5.574407959E0,1.370684647E1
8.102543375E0,-1.398392029E0,4.394561462E0,1.352123245E1
8.122539375E0,-1.587448883E0,4.064198456E0,1.159818146E1
8.142535375E0,-7.797285461E-1,4.657265167E0,9.725425873E0
8.162530375E0,-1.568737793E-1,5.081932068E0,8.308173065E0
8.182526375E0,-1.113085327E0,4.607568512E0,7.167994080E0
8.202522375E0,-1.976789246E0,3.641776886E0,7.383845215E0
